"Participant","Group","Block","TrialNum","TrialNumByLL","LikelihoodSD","LLType","LLMean","LSD","Splash1X","Splash2X","Splash3X","Splash4X","Splash5X","NetX","Correct","deltaD","Outlier"
49,"A",1,1,1,0.06,"Narrow",0.014649,0.102836,0.014656,0.016585,-0.029671,-0.058107,0.129781,0.011265,"hit",-0.003384,"no"
49,"A",1,2,2,0.06,"Narrow",-0.003829,0.076415,-0.012511,-0.058631,-0.022949,-0.016022,0.090965,0.039192,"miss",0.043021,"yes"
49,"A",1,5,3,0.06,"Narrow",-0.001161,0.091346,-0.023255,0.053357,0.056014,-0.016344,-0.075575,-0.00178,"hit",-0.00062,"no"
49,"A",1,7,4,0.06,"Narrow",0.0291,0.062446,0.045715,-0.020067,0.013281,0.058531,0.04804,0.027704,"hit",-0.001396,"no"
49,"A",1,11,5,0.06,"Narrow",0.041675,0.084224,0.039872,-0.020398,0.077188,0.009239,0.102475,0.039056,"hit",-0.002619,"no"
49,"A",1,16,6,0.06,"Narrow",0.03248,0.133111,0.012617,0.017882,0.156869,0.01859,-0.043556,0.042667,"hit",0.010187,"no"
49,"A",1,19,7,0.06,"Narrow",0.056392,0.063016,0.008336,0.059013,0.096191,0.050336,0.068086,0.07018,"hit",0.013788,"no"
49,"A",1,20,8,0.06,"Narrow",-0.026265,0.191997,0.031838,-0.135045,0.109462,-0.081066,-0.056513,-0.008346,"miss",0.017919,"no"
49,"A",1,21,9,0.06,"Narrow",-0.011779,0.161615,-0.077459,0.099446,0.067405,-0.030208,-0.118077,-0.02003,"hit",-0.008251,"no"
49,"A",1,23,10,0.06,"Narrow",0.00509,0.141624,0.081783,-0.104974,0.017017,0.047612,-0.015991,0.005517,"hit",0.000428,"no"
49,"A",1,24,11,0.06,"Narrow",-0.000341,0.132349,-0.005414,0.100434,-0.067998,-0.051557,0.022828,0.010503,"hit",0.010845,"no"
49,"A",1,26,12,0.06,"Narrow",-0.005792,0.077101,-0.030552,-0.02747,0.026695,-0.057899,0.060269,-0.01235,"hit",-0.006558,"no"
49,"A",1,27,13,0.06,"Narrow",0.040046,0.084874,-0.005491,0.043449,-0.015709,0.050984,0.126998,0.038592,"hit",-0.001454,"no"
49,"A",1,28,14,0.06,"Narrow",0.014655,0.132164,0.028576,0.128969,-0.012101,-0.03947,-0.032697,0.03037,"miss",0.015714,"no"
49,"A",1,29,15,0.06,"Narrow",-0.085346,0.218447,-0.046972,-0.272785,0.017864,-0.081858,-0.042979,-0.080939,"hit",0.004407,"no"
49,"A",1,30,16,0.06,"Narrow",0.044052,0.082025,0.058206,-0.011147,0.061037,0.098476,0.01369,0.044637,"hit",0.000585,"no"
49,"A",1,31,17,0.06,"Narrow",0.024482,0.246189,-0.103144,0.135633,-0.076698,0.171172,-0.004551,0.011402,"hit",-0.01308,"no"
49,"A",1,36,18,0.06,"Narrow",0.002134,0.045371,0.025345,-0.027427,0.022382,0.011919,-0.021548,-0.000069,"hit",-0.002203,"no"
49,"A",1,38,19,0.06,"Narrow",-0.014697,0.152804,-0.041752,0.066855,-0.044244,-0.129118,0.074772,-0.024558,"hit",-0.00986,"no"
49,"A",1,39,20,0.06,"Narrow",-0.000693,0.092135,0.000049,-0.085183,0.014449,0.001058,0.066163,-0.008118,"hit",-0.007426,"no"
49,"A",1,41,21,0.06,"Narrow",0.022166,0.173233,0.052153,-0.099896,0.127056,0.070013,-0.038496,0.040897,"miss",0.018731,"no"
49,"A",1,43,22,0.06,"Narrow",-0.012661,0.111971,-0.031179,0.049123,0.001122,-0.101719,0.019346,-0.011019,"hit",0.001642,"no"
49,"A",1,44,23,0.06,"Narrow",0.000449,0.040234,0.009516,0.004322,-0.017465,0.032372,-0.026502,0.001791,"hit",0.001343,"no"
49,"A",1,46,24,0.06,"Narrow",-0.085233,0.124402,-0.18063,-0.112881,-0.047158,-0.114862,0.029368,-0.096852,"hit",-0.011619,"no"
49,"A",1,51,25,0.06,"Narrow",0.07037,0.093848,0.113442,0.131226,0.052554,0.019107,0.035523,0.066764,"hit",-0.003606,"no"
49,"A",1,54,26,0.06,"Narrow",-0.025061,0.085845,0.024827,-0.079326,0.01529,-0.026,-0.060095,-0.017275,"hit",0.007786,"no"
49,"A",1,55,27,0.06,"Narrow",0.065131,0.092955,0.007452,0.055397,0.0798,0.135329,0.047679,0.066694,"hit",0.001563,"no"
49,"A",1,56,28,0.06,"Narrow",0.005031,0.109062,0.091818,-0.039678,-0.042963,-0.000302,0.016282,0.019215,"hit",0.014184,"no"
49,"A",1,57,29,0.06,"Narrow",-0.053392,0.068271,-0.015755,-0.076381,-0.029785,-0.022407,-0.122632,-0.045344,"hit",0.008048,"no"
49,"A",1,58,30,0.06,"Narrow",0.013664,0.112492,0.015131,-0.052498,0.075677,-0.045316,0.075324,0.030162,"miss",0.016498,"no"
49,"A",1,62,31,0.06,"Narrow",-0.013252,0.137386,-0.059802,0.08063,-0.088908,0.032514,-0.030694,-0.013625,"hit",-0.000374,"no"
49,"A",1,63,32,0.06,"Narrow",-0.023826,0.056035,-0.011538,-0.015567,-0.032781,0.0213,-0.080542,-0.014335,"hit",0.009491,"no"
