"Participant","Group","Block","TrialNumOrig","TrialNumByTT","TType","PriorSD","LikelihoodSD","LLType","LLMean","LSD","CoinX","Splash1X","Splash2X","Splash3X","Splash4X","Splash5X","NetX","Correct","deltaD","OI","OIc","Outlier"
49,"A",1,1,1,"Pl",0.085,0.06,"Narrow",0.158915,0.078229,0.163777,0.095574,0.17182,0.200666,0.172745,0.153769,0.150817,"hit",-0.008098,0.662988,0.533836,"no"
49,"A",1,4,2,"Pl",0.085,0.06,"Narrow",0.049955,0.074234,0.071457,0.077616,0.018121,-0.002141,0.078757,0.077423,0.069619,"hit",0.019664,0.763318,0.763391,"no"
49,"A",1,5,3,"Pl",0.085,0.06,"Narrow",0.039757,0.074507,-0.002263,0.063795,-0.013681,0.018713,0.080389,0.049567,0.047938,"miss",0.008182,0.910272,0.902804,"no"
49,"A",1,6,4,"Pl",0.085,0.06,"Narrow",-0.143632,0.175223,-0.130339,-0.200543,-0.012899,-0.116158,-0.086091,-0.302469,-0.098684,"miss",0.044948,0.998371,0.64875,"no"
49,"A",1,8,5,"Pl",0.085,0.06,"Narrow",0.070116,0.106227,0.086147,-0.013354,0.086139,0.130488,0.053519,0.09379,0.101279,"miss",0.031162,0.54382,0.54012,"no"
49,"A",1,10,6,"Pl",0.085,0.06,"Narrow",0.065615,0.081338,0.045134,0.075779,0.102114,0.043854,0.000085,0.106243,0.092007,"miss",0.026392,0.620614,0.619487,"no"
49,"A",1,12,7,"Pl",0.085,0.06,"Narrow",0.050051,0.180291,0.055999,-0.031925,0.108128,0.153406,-0.057347,0.077995,0.058385,"hit",0.008333,0.879814,0.815115,"no"
49,"A",1,13,8,"Pl",0.085,0.06,"Narrow",-0.057683,0.077864,-0.058104,-0.108846,-0.084318,-0.0807,-0.049296,0.034744,-0.016488,"miss",0.041195,0.905348,0.96728,"no"
49,"A",1,14,9,"Pl",0.085,0.06,"Narrow",0.136496,0.095776,0.120082,0.098389,0.117732,0.109297,0.217903,0.139159,0.125884,"hit",-0.010612,0.780149,0.588109,"no"
49,"A",1,16,10,"Pl",0.085,0.06,"Narrow",-0.027374,0.140154,-0.027161,-0.121814,0.052221,-0.053939,0.032602,-0.04594,0.011279,"miss",0.038653,0.835941,0.967821,"no"
49,"A",1,18,11,"Pl",0.085,0.06,"Narrow",0.113597,0.096954,0.13635,0.123259,0.125417,0.195607,0.108361,0.015338,0.094219,"miss",-0.019378,0.932878,0.783133,"no"
49,"A",1,19,12,"Pl",0.085,0.06,"Narrow",0.07246,0.166275,0.063097,0.141596,-0.038488,0.117877,-0.010688,0.152004,0.060935,"hit",-0.011526,0.968084,0.832653,"no"
49,"A",1,21,13,"Pl",0.085,0.06,"Narrow",-0.082043,0.083194,-0.123223,-0.004794,-0.098497,-0.099648,-0.090957,-0.116321,-0.089823,"miss",-0.007779,0.776998,0.724608,"no"
49,"A",1,25,14,"Pl",0.085,0.06,"Narrow",0.08125,0.104255,0.074957,0.126073,0.041696,0.036502,0.026018,0.175962,0.038373,"miss",-0.042877,0.949711,0.995984,"no"
49,"A",1,26,15,"Pl",0.085,0.06,"Narrow",-0.058539,0.108798,-0.055786,-0.004846,-0.05774,-0.035352,-0.150017,-0.044738,0.033802,"miss",0.09234,0.336264,0.706749,"no"
49,"A",1,27,16,"Pl",0.085,0.06,"Narrow",-0.140174,0.078938,-0.127454,-0.088994,-0.165049,-0.187661,-0.113164,-0.146001,-0.079323,"miss",0.060851,0.95927,0.997562,"no"
49,"A",1,29,17,"Pl",0.085,0.06,"Narrow",0.050598,0.125317,0.038304,0.000428,0.162484,0.044457,0.036228,0.009395,0.016825,"miss",-0.033773,0.942769,0.999922,"no"
49,"A",1,30,18,"Pl",0.085,0.06,"Narrow",-0.083163,0.14385,-0.052984,-0.060028,-0.044914,0.010191,-0.178553,-0.14251,-0.012933,"miss",0.07023,0.689377,0.993173,"no"
49,"A",1,33,19,"Pl",0.085,0.06,"Narrow",-0.074013,0.077753,-0.060622,-0.051617,-0.080882,-0.125237,-0.112639,0.000309,-0.069444,"hit",0.004569,0.920848,0.87992,"no"
49,"A",1,36,20,"Pl",0.085,0.06,"Narrow",0.058245,0.082839,0.045811,0.115689,0.059356,0.027424,0.008358,0.080397,0.094902,"miss",0.036657,0.525076,0.551125,"no"
49,"A",1,39,21,"Pl",0.085,0.06,"Narrow",-0.184231,0.074196,-0.162322,-0.229904,-0.153271,-0.18786,-0.136927,-0.213191,-0.134887,"miss",0.049343,0.971237,0.86433,"no"
49,"A",1,41,22,"Pl",0.085,0.06,"Narrow",0.070405,0.137703,0.097308,0.046622,0.059977,0.126416,-0.043701,0.162713,0.045336,"miss",-0.025069,0.999438,0.938185,"no"
49,"A",1,49,23,"Pl",0.085,0.06,"Narrow",0.059154,0.093126,0.107777,0.041283,0.122076,0.061716,-0.006468,0.077163,0.052222,"miss",-0.006932,0.967239,0.922343,"no"
49,"A",1,50,24,"Pl",0.085,0.06,"Narrow",-0.078588,0.04002,-0.090929,-0.11105,-0.070278,-0.057912,-0.084145,-0.069556,-0.003327,"miss",0.075261,0.609405,0.249586,"no"
49,"A",1,51,25,"Pl",0.085,0.06,"Narrow",-0.131944,0.073704,-0.10068,-0.163497,-0.131611,-0.085926,-0.177566,-0.101121,-0.160406,"miss",-0.028462,0.341624,0.314581,"no"
49,"A",1,53,26,"Pl",0.085,0.06,"Narrow",0.036819,0.076607,0.034975,0.035744,0.092736,0.06897,0.006978,-0.020331,0.041627,"hit",0.004808,0.942071,0.932873,"no"
49,"A",1,55,27,"Pl",0.085,0.06,"Narrow",-0.025769,0.081088,-0.055589,-0.091695,-0.042485,-0.037282,-0.001009,0.043628,-0.012203,"miss",0.013565,0.994892,0.999761,"no"
49,"A",1,57,28,"Pl",0.085,0.06,"Narrow",-0.032405,0.136828,-0.008552,0.009251,-0.122682,0.039171,-0.090723,0.002957,-0.007953,"hit",0.024452,0.962349,0.999891,"no"
49,"A",1,58,29,"Pl",0.085,0.06,"Narrow",0.127802,0.123222,0.165267,0.159798,0.232556,0.098394,0.110056,0.038207,0.078601,"miss",-0.049201,0.990833,0.867645,"no"
49,"A",1,60,30,"Pl",0.085,0.06,"Narrow",-0.010327,0.088786,-0.061707,0.035924,-0.052858,-0.027253,-0.061452,0.054004,-0.004776,"miss",0.005551,0.999081,0.999997,"no"
49,"A",2,63,31,"Pl",0.085,0.06,"Narrow",-0.018197,0.080912,-0.010227,-0.027773,0.044646,-0.052503,-0.0537,-0.001653,-0.00478,"hit",0.013417,0.98893,0.996726,"no"
49,"A",2,64,32,"Pl",0.085,0.06,"Narrow",-0.000689,0.111592,-0.012019,-0.043213,0.011873,0.095666,0.002053,-0.069824,0.085305,"miss",0.085993,0.220997,0.451408,"no"
49,"A",2,66,33,"Pl",0.085,0.06,"Narrow",-0.052218,0.072656,-0.045659,-0.041462,-0.108172,-0.0437,-0.008104,-0.05965,0.029457,"miss",0.081674,0.427952,0.561432,"no"
49,"A",2,67,34,"Pl",0.085,0.06,"Narrow",-0.018265,0.156047,0.024504,-0.03138,0.097849,-0.106184,-0.069622,0.018014,-0.07169,"miss",-0.053425,0.483574,0.665741,"no"
49,"A",2,68,35,"Pl",0.085,0.06,"Narrow",0.219922,0.100667,0.147982,0.216026,0.166593,0.27751,0.276121,0.163358,0.123363,"miss",-0.096559,0.893532,0.887581,"no"
49,"A",2,69,36,"Pl",0.085,0.06,"Narrow",-0.095655,0.15251,-0.12846,-0.008703,-0.181164,-0.11164,-0.012303,-0.164467,-0.051709,"miss",0.043947,0.97023,0.92675,"no"
49,"A",2,71,37,"Pl",0.085,0.06,"Narrow",-0.027116,0.075862,-0.008124,0.00869,-0.015894,-0.066896,-0.075505,0.014025,0.004551,"hit",0.031667,0.900075,0.942061,"no"
49,"A",2,74,38,"Pl",0.085,0.06,"Narrow",0.011283,0.065178,0.022751,0.045206,0.042995,-0.027036,-0.013657,0.008905,0.024151,"hit",0.012868,0.944887,0.947703,"no"
49,"A",2,76,39,"Pl",0.085,0.06,"Narrow",-0.031561,0.081854,-0.061406,-0.009294,-0.037737,-0.090926,0.019685,-0.039533,-0.028641,"miss",0.00292,0.988289,0.97877,"no"
49,"A",2,77,40,"Pl",0.085,0.06,"Narrow",-0.135637,0.069303,-0.129545,-0.138204,-0.163329,-0.151462,-0.074618,-0.150572,-0.04722,"miss",0.088417,0.680489,0.817656,"no"
49,"A",2,78,41,"Pl",0.085,0.06,"Narrow",-0.008841,0.081675,-0.011288,0.018724,-0.023826,-0.079531,-0.000562,0.04099,-0.047397,"miss",-0.038556,0.702312,0.769626,"no"
49,"A",2,81,42,"Pl",0.085,0.06,"Narrow",0.004102,0.098392,0.019264,0.014936,-0.06788,-0.036981,0.002563,0.107871,0.023781,"hit",0.019679,0.913131,0.943436,"no"
