"Participant","Block","TrialNum","TrialNumByLL","PriorSD","LikelihoodSD","LLType","LLMean","LSD","Coin","Splash1X","Splash2X","Splash3X","Splash4X","Splash5X","NetX","Correct","deltaD","OI","OIc","Outlier"
26,1,1,1,0.085,0.024,"Narrow",0.15166,0.035921,0.14445,0.147449,0.152404,0.169917,0.175458,0.113069,0.013202,"miss",-0.138457,0.000001,0.003305,"yes"
26,1,3,2,0.085,0.024,"Narrow",0.107114,0.032373,0.101989,0.096264,0.090086,0.091698,0.120491,0.137031,0.065108,"miss",-0.042006,0.387252,0.665669,"yes"
26,1,8,3,0.085,0.024,"Narrow",-0.087235,0.027471,-0.099635,-0.104839,-0.067992,-0.092471,-0.092482,-0.07839,-0.083612,"miss",0.003623,0.993565,0.986074,"no"
26,1,9,4,0.085,0.024,"Narrow",0.052806,0.063234,0.049121,0.080983,0.050802,0.004555,0.032324,0.095369,0.033092,"miss",-0.019714,0.815896,0.999847,"no"
26,1,10,5,0.085,0.024,"Narrow",-0.108856,0.015765,-0.110094,-0.108927,-0.098029,-0.117839,-0.115534,-0.103949,-0.09094,"miss",0.017915,0.923735,0.732966,"no"
26,1,11,6,0.085,0.024,"Narrow",-0.021802,0.044927,-0.029,-0.028716,-0.008254,-0.032609,0.015549,-0.054979,0.00203,"miss",0.023832,0.668948,0.895927,"no"
26,1,12,7,0.085,0.024,"Narrow",0.059372,0.044031,0.05708,0.024325,0.070571,0.083547,0.058666,0.05975,0.051963,"hit",-0.007409,0.99259,0.991769,"no"
26,1,14,8,0.085,0.024,"Narrow",-0.043204,0.026434,-0.040451,-0.052325,-0.046241,-0.027148,-0.027359,-0.062947,-0.035669,"hit",0.007535,0.984771,0.990378,"no"
26,1,15,9,0.085,0.024,"Narrow",0.022734,0.028277,0.027747,0.009498,0.01108,0.011651,0.020679,0.060761,0.030332,"hit",0.007599,0.932421,0.940982,"no"
26,1,17,10,0.085,0.024,"Narrow",-0.09079,0.037608,-0.093531,-0.091514,-0.076935,-0.121652,-0.100098,-0.063751,-0.061627,"miss",0.029163,0.663192,0.922104,"no"
