"Participant","Block","TrialNum","TrialNumByLL","LikelihoodSD","LLType","LLMean","LSD","Splash1X","Splash2X","Splash3X","Splash4X","Splash5X","NetX","Correct","deltaD","Outlier"
26,1,2,1,0.024,"Narrow",0.004225,0.060226,-0.030376,0.038066,0.036663,-0.007161,-0.016067,0.009327,"hit",0.005103,"no"
26,1,4,2,0.024,"Narrow",0.00057,0.016627,-0.001148,-0.004086,0.01184,-0.010207,0.006452,0.019883,"miss",0.019313,"no"
26,1,9,3,0.024,"Narrow",0.009596,0.054297,0.019854,-0.017757,0.031776,0.04433,-0.030222,-0.013018,"miss",-0.022615,"no"
26,1,11,4,0.024,"Narrow",0.022911,0.034808,-0.005006,0.024683,0.043049,0.020498,0.031332,0.043383,"miss",0.020472,"no"
26,1,17,5,0.024,"Narrow",-0.007397,0.03329,-0.005273,0.012866,-0.03289,-0.012524,0.000835,-0.00474,"hit",0.002657,"no"
26,1,22,6,0.024,"Narrow",0.002695,0.037101,0.027574,0.010185,0.004165,-0.023468,-0.00498,0.004093,"hit",0.001398,"no"
26,1,24,7,0.024,"Narrow",-0.006147,0.080894,0.013642,-0.041637,-0.050506,0.047852,-0.000084,0.003289,"hit",0.009435,"no"
26,1,27,8,0.024,"Narrow",0.018584,0.047073,0.045424,0.032065,0.041302,0.004479,-0.03035,0.027414,"hit",0.00883,"no"
26,1,29,9,0.024,"Narrow",-0.010493,0.059486,0.025839,-0.012415,0.02442,-0.029633,-0.060676,-0.000198,"hit",0.010296,"no"
26,1,30,10,0.024,"Narrow",-0.007011,0.054951,-0.049493,0.003427,0.026241,-0.007202,-0.00803,-0.013752,"hit",-0.006741,"no"
26,2,32,11,0.024,"Narrow",-0.007723,0.065271,0.000053,0.04039,0.016674,-0.024449,-0.071283,0.00777,"miss",0.015494,"no"
26,2,36,12,0.024,"Narrow",-0.005393,0.047107,0.008288,0.023538,-0.021132,-0.036109,-0.001549,-0.003181,"hit",0.002212,"no"
26,2,40,13,0.024,"Narrow",-0.005935,0.033657,0.017097,-0.012868,-0.012964,-0.027515,0.006574,-0.013852,"hit",-0.007917,"no"
26,2,41,14,0.024,"Narrow",0.01131,0.063278,0.050897,-0.036737,0.007394,0.005665,0.029335,0.010419,"hit",-0.000891,"no"
26,2,46,15,0.024,"Narrow",-0.003296,0.033418,-0.002612,0.003728,-0.033783,0.006454,0.009732,-0.007533,"hit",-0.004237,"no"
26,2,47,16,0.024,"Narrow",-0.000654,0.025115,0.017504,-0.017958,-0.001843,-0.000969,-0.000003,0.003039,"hit",0.003693,"no"
26,2,48,17,0.024,"Narrow",0.005622,0.042068,0.029218,-0.028867,0.006853,0.005946,0.01496,0.008327,"hit",0.002705,"no"
26,2,49,18,0.024,"Narrow",-0.002385,0.034236,-0.03021,-0.010562,0.005059,0.012813,0.010976,-0.00074,"hit",0.001645,"no"
26,2,51,19,0.024,"Narrow",0.003238,0.023092,0.015233,-0.008002,-0.00187,-0.009548,0.020379,-0.004604,"hit",-0.007842,"no"
26,2,55,20,0.024,"Narrow",-0.007797,0.085461,0.064016,-0.025341,-0.023428,-0.04772,-0.006511,-0.017566,"hit",-0.009769,"no"
26,3,65,21,0.024,"Narrow",-0.006157,0.052633,-0.041927,-0.022451,0.008079,0.02568,-0.000165,-0.010789,"hit",-0.004632,"no"
26,3,67,22,0.024,"Narrow",-0.00494,0.015547,0.002935,0.003068,-0.010559,-0.014088,-0.006055,-0.006764,"hit",-0.001824,"no"
26,3,70,23,0.024,"Narrow",0.017741,0.061706,0.032505,-0.02194,-0.01702,0.03837,0.05679,0.026189,"hit",0.008448,"no"
26,3,73,24,0.024,"Narrow",-0.00328,0.064075,0.010817,-0.051929,0.035071,0.003253,-0.013613,-0.003181,"hit",0.000099,"no"
26,3,74,25,0.024,"Narrow",0.005975,0.034579,0.018137,0.00813,-0.024358,0.001601,0.026366,0.012748,"hit",0.006773,"no"
26,3,78,26,0.024,"Narrow",-0.009219,0.065368,0.005329,-0.04101,0.035173,-0.041962,-0.003627,-0.005401,"hit",0.003819,"no"
26,3,79,27,0.024,"Narrow",0.001713,0.065013,0.002893,0.027438,0.014702,-0.055877,0.019408,0.013785,"hit",0.012072,"no"
26,3,80,28,0.024,"Narrow",0.006112,0.049785,-0.029979,0.002164,0.033294,-0.008945,0.034026,-0.000906,"hit",-0.007018,"no"
