"Participant","Block","TrialNumOrig","TrialNumByLL","PriorSD","LikelihoodSD","LLType","LLMean","LSD","Coin","Splash1X","Splash2X","Splash3X","Splash4X","Splash5X","NetX","Correct","deltaD","OI","OIc","Outlier"
26,1,6,1,0.085,0.024,"Narrow",-0.011675,0.050263,-0.025123,0.003359,-0.018329,0.006184,-0.054864,0.005275,0.060282,"miss",0.071957,0.015457,0.295326,"yes"
26,1,8,2,0.085,0.024,"Narrow",0.076601,0.033607,0.074417,0.106724,0.064242,0.069919,0.07455,0.067571,-0.197425,"miss",-0.274026,0,0,"yes"
26,1,9,3,0.085,0.024,"Narrow",0.004463,0.030812,0.005456,0.004003,-0.010472,0.027005,0.015927,-0.014147,0.443144,"miss",0.43868,0,0,"yes"
26,1,13,4,0.085,0.024,"Narrow",0.102139,0.056383,0.10896,0.105516,0.08956,0.128463,0.056214,0.130941,0.151908,"miss",0.049769,0.067392,0.237907,"no"
26,1,15,5,0.085,0.024,"Narrow",-0.055529,0.067798,-0.052273,-0.070271,-0.012412,-0.02233,-0.090817,-0.081815,-0.058176,"hit",-0.002648,0.963666,0.903205,"no"
26,1,16,6,0.085,0.024,"Narrow",0.04683,0.059767,0.060695,0.083368,0.01444,0.076674,0.047313,0.012355,0.031363,"miss",-0.015467,0.88934,1,"no"
26,1,19,7,0.085,0.024,"Narrow",0.077225,0.066469,0.082509,0.060179,0.105604,0.067428,0.127718,0.025198,0.072776,"hit",-0.00445,0.998726,0.896178,"no"
26,1,24,8,0.085,0.024,"Narrow",-0.007788,0.022362,0.003191,-0.002535,-0.005438,-0.027147,0.001747,-0.005568,0.08695,"miss",0.094738,0.000627,0.000242,"yes"
26,1,26,9,0.085,0.024,"Narrow",0.004262,0.027421,0.003338,-0.007821,0.015135,-0.012691,0.018259,0.008429,0.261906,"miss",0.257644,0,0,"yes"
26,1,27,10,0.085,0.024,"Narrow",0.086842,0.029179,0.097891,0.070067,0.110209,0.087263,0.088788,0.077882,-0.226519,"miss",-0.313361,0,0,"yes"
26,1,30,11,0.085,0.024,"Narrow",0.00738,0.048254,-0.002496,0.038872,-0.021951,-0.006679,0.023913,0.002742,0.226765,"miss",0.219385,0,0.000002,"yes"
26,1,32,12,0.085,0.024,"Narrow",-0.088089,0.027045,-0.085128,-0.068652,-0.088562,-0.099485,-0.102628,-0.081116,-0.079124,"hit",0.008965,0.995092,0.999496,"no"
26,1,33,13,0.085,0.024,"Narrow",0.02074,0.024844,0.012354,0.016314,0.011248,0.023922,0.042368,0.009849,0.354774,"miss",0.334034,0,0,"yes"
26,1,41,14,0.085,0.024,"Narrow",0.023317,0.0554,0.042973,0.055265,0.042045,-0.011089,0.000859,0.029504,0.171754,"miss",0.148437,0,0.004431,"yes"
26,1,43,15,0.085,0.024,"Narrow",0.000292,0.063995,0.013664,0.005207,0.013995,0.048372,-0.036407,-0.029706,-0.017416,"miss",-0.017708,0.77528,0.944035,"no"
26,2,48,16,0.085,0.024,"Narrow",0.086032,0.027352,0.077932,0.072894,0.09161,0.106488,0.092065,0.067104,0.09534,"miss",0.009308,0.819134,0.819274,"no"
26,2,50,17,0.085,0.024,"Narrow",-0.003832,0.029316,-0.004537,-0.022368,-0.009161,-0.009321,0.017139,0.004552,-0.000954,"hit",0.002878,0.99454,0.996405,"no"
26,2,51,18,0.085,0.024,"Narrow",-0.062877,0.021314,-0.066726,-0.065617,-0.067252,-0.043599,-0.069905,-0.068015,-0.062879,"hit",-0.000002,0.982618,0.986536,"no"
26,2,61,19,0.085,0.024,"Narrow",0.081886,0.039064,0.077363,0.072425,0.079876,0.05,0.096196,0.110933,0.088147,"hit",0.006262,0.884102,0.85408,"no"
26,2,67,20,0.085,0.024,"Narrow",0.189736,0.049221,0.18409,0.157211,0.181361,0.217694,0.172739,0.219676,0.191304,"hit",0.001568,0.820873,0.527046,"no"
26,2,68,21,0.085,0.024,"Narrow",-0.077955,0.022833,-0.077056,-0.083044,-0.080707,-0.081376,-0.056712,-0.087936,-0.073695,"hit",0.00426,0.998184,0.999146,"no"
26,2,69,22,0.085,0.024,"Narrow",0.022536,0.054289,0.028776,0.020896,0.04434,0.059273,-0.008278,-0.003549,0.031772,"hit",0.009235,0.907928,0.944343,"no"
26,2,70,23,0.085,0.024,"Narrow",-0.117873,0.05123,-0.110051,-0.126292,-0.149812,-0.078717,-0.11744,-0.117103,-0.114818,"hit",0.003055,0.974402,0.81808,"no"
26,2,74,24,0.085,0.024,"Narrow",0.063606,0.041793,0.063356,0.043565,0.049635,0.055872,0.09631,0.072649,0.053265,"hit",-0.010341,0.974435,0.998596,"no"
26,2,76,25,0.085,0.024,"Narrow",0.094841,0.055843,0.09551,0.124775,0.084962,0.06107,0.125105,0.078291,0.095672,"hit",0.000831,0.951333,0.825305,"no"
26,2,77,26,0.085,0.024,"Narrow",-0.09605,0.03048,-0.074744,-0.109715,-0.112261,-0.08711,-0.076066,-0.095098,-0.096242,"miss",-0.000192,0.957787,0.933597,"no"
26,2,78,27,0.085,0.024,"Narrow",0.061723,0.047959,0.058615,0.063588,0.04822,0.033883,0.098289,0.064633,0.056953,"hit",-0.00477,0.999963,0.9722,"no"
26,2,82,28,0.085,0.024,"Narrow",-0.094559,0.043415,-0.101719,-0.07587,-0.113598,-0.124654,-0.09657,-0.062103,0.100312,"miss",0.194871,0,0.000055,"yes"
26,2,83,29,0.085,0.024,"Narrow",0.021674,0.034813,0.032658,0.047039,0.034567,0.006748,0.009486,0.01053,-0.185137,"miss",-0.206811,0,0,"yes"
26,2,85,30,0.085,0.024,"Narrow",0.094025,0.050524,0.09415,0.053271,0.108026,0.116638,0.106885,0.085303,0.026088,"miss",-0.067936,0.04695,0.619033,"yes"
26,3,92,31,0.085,0.024,"Narrow",0.091143,0.023539,0.096316,0.094738,0.070294,0.090849,0.088664,0.111168,0.09483,"hit",0.003687,0.915551,0.916794,"no"
26,3,93,32,0.085,0.024,"Narrow",0.012419,0.084566,0.002667,0.058872,-0.042386,-0.026479,0.0268,0.045289,0.019002,"miss",0.006583,0.955303,0.978059,"no"
26,3,98,33,0.085,0.024,"Narrow",-0.074902,0.036336,-0.089503,-0.103614,-0.075448,-0.05301,-0.071322,-0.071114,-0.084034,"hit",-0.009133,0.839555,0.83569,"no"
26,3,100,34,0.085,0.024,"Narrow",0.031098,0.052947,0.031307,0.00472,0.074582,0.039365,0.029986,0.006838,-0.046415,"miss",-0.077513,0.009336,0.323046,"yes"
26,3,102,35,0.085,0.024,"Narrow",0.034137,0.015976,0.03855,0.031267,0.027527,0.023474,0.040771,0.047644,0.26264,"miss",0.228504,0,0,"yes"
26,3,104,36,0.085,0.024,"Narrow",0.023216,0.044793,0.012022,0.016381,-0.012911,0.016029,0.042185,0.054398,-0.174142,"miss",-0.197358,0,0.000013,"yes"
26,3,106,37,0.085,0.024,"Narrow",0.11832,0.041539,0.138627,0.142286,0.106787,0.092185,0.136488,0.113856,0.125203,"hit",0.006883,0.819993,0.740909,"no"
26,3,107,38,0.085,0.024,"Narrow",0.039385,0.041194,0.03745,0.027855,0.054715,0.049175,0.067603,-0.002421,0.052956,"miss",0.01357,0.801796,0.858309,"no"
26,3,108,39,0.085,0.024,"Narrow",-0.05904,0.051135,-0.042988,-0.035944,-0.096848,-0.073545,-0.067916,-0.020946,-0.053283,"hit",0.005757,0.998414,0.975599,"no"
26,3,112,40,0.085,0.024,"Narrow",-0.006697,0.035164,-0.0073,-0.024275,0.021565,-0.012979,0.000692,-0.018489,0.092904,"miss",0.099602,0.000279,0.01349,"yes"
26,3,114,41,0.085,0.024,"Narrow",-0.002632,0.074312,-0.002196,0.009452,0.00013,0.050074,-0.052782,-0.020033,0.14468,"miss",0.147312,0,0.03567,"yes"
